"Carrier ""%1"" not found.","Carrier ""%1"" konnte nicht gefunden werden."
"Create a customized country list","Angepasste Länderliste erstellen"
"Display customized message","Benutzerdefinierte Nachricht anzeigen"
Errors,Fehler
"Hide this shipping method in checkout","Diese Versandart im Checkout ausblenden"
"Info (All API Activities)","Info (alle API-Aktivitäten)"
"Not implemented yet.","Noch nicht implementiert"
"Package #%1 not found in shipment request.","Paket #%1 konnte nicht gefunden werden."
"Recipient street with ID ""%1"" does not exist.","Empfängeradresse mit der ID ""%1"" ist nicht vorhanden."
"Return shipments are not supported.","Retourenaufkleber werden nicht unterstützt."
"Unable to load recipient street with ID ""%1"".","Empfängeradresse mit der ID ""%1"" kann nicht geladen werden."
"Unable to retrieve year %1 holidays for region %2.","Feiertage in Region %2 für das Jahr %1 konnten nicht ermittelt werden."
"Unable to save label status","Labelstatus kann nicht gespeichert werden"
"Unable to save recipient street.","Empfängeradresse kann nicht gespeichert werden."
"Use countries from <a href=""%1"">Allowed Countries</a> setting.","Erlaubte Länder aus den <a href=""%1"">allgemeinen Einstellungen</a> verwenden."
Warnings,Warnungen
