"Add Package","Add Package"
"All orders that are placed after the configured time are assumed to be handed over to the respective carrier on the next business day. All orders that are placed before that time are expected to be handed over to the respective carrier on the same day. Value is interpreted as in the timezone configured for the current website","All orders that are placed after the configured time are assumed to be handed over to the respective carrier on the next business day. All orders that are placed before that time are expected to be handed over to the respective carrier on the same day. Value is interpreted as in the timezone configured for the current website"
"Carrier ""%1"" not found.","Carrier ""%1"" not found."
"Cash On Delivery Payment Methods","Cash On Delivery Payment Methods"
"Could not delete service selection.","Could not delete service selection."
"Could not save service selection.","Could not save service selection."
"Create a customized country list","Create a customized country list"
"Display customized message","Display customized message"
Errors,Errors
"Height %1","Height %1"
"Hide this shipping method in checkout","Hide this shipping method in checkout"
"Info (All API Activities)","Info (All API Activities)"
"Length %1","Length %1"
"No additional attributes found for order item %1.","No additional attributes found for order item %1."
"Not implemented yet.","Not implemented yet."
"Order Cut-off Time","Order Cut-off Time"
"Package #%1 not found in shipment request.","Package #%1 not found in shipment request."
Packages,Packages
"Parcel Processing","Parcel Processing"
"Recipient street with ID ""%1"" does not exist.","Recipient street with ID ""%1"" does not exist."
"Return shipments are not supported.","Return shipments are not supported."
"Selected payment methods will be treated as CoD methods when booking a shipment label.","Selected payment methods will be treated as CoD methods when booking a shipment label."
"Set Default","Set Default"
Title,Title
"Unable to load additional attributes for order item %1.","Unable to load additional attributes for order item %1."
"Unable to load recipient street with ID ""%1"".","Unable to load recipient street with ID ""%1""."
"Unable to retrieve year %1 holidays for region %2.","Unable to retrieve year %1 holidays for region %2."
"Unable to save additional attributes for order item %1: %2","Unable to save additional attributes for order item %1: %2"
"Unable to save label status","Unable to save label status"
"Unable to save recipient street.","Unable to save recipient street."
"Use countries from <a href=""%1"">Allowed Countries</a> setting.","Use countries from <a href=""%1"">Allowed Countries</a> setting."
"Use this to create your own types of packages with your specific titles, sizes and tare weights.","Use this to create your own types of packages with your specific titles, sizes and tare weights."
Warnings,Warnings
"Weight %1","Weight %1"
"Width %1","Width %1"
"You need to have at least one drop off day.","You need to have at least one drop off day."
